
Quadro extraído em 22 de Novembro de 2024 (18:26:58)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Valor acrescentado bruto (?) das Empresas por Localização geográfica (NUTS - 2013) e Atividade económica (Divisão - CAE Rev. 3) -  Anual (3) ;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;
;2022;;;;;;;;;;;;;;;;;;
;Atividade económica (Divisão - CAE Rev. 3) (2) ;;;;;;;;;;;;;;;;;;
;Total;Agricultura, produção animal, caça, floresta e pesca;Indústrias extrativas;Indústrias transformadoras;Eletricidade, gás, vapor, água quente e fria e ar frio;Captação, tratamento e distribuição de água -  saneamento, gestão de resíduos e despoluição;Construção;Comércio por grosso e a retalho -  reparação de veículos automóveis e motociclos;Transportes e armazenagem;Alojamento, restauração e similares;Atividades de informação e de comunicação;Atividades imobiliárias;Atividades de consultoria, científicas, técnicas e similares;Atividades administrativas e dos serviços de apoio;Educação;Atividades de saúde humana e apoio  social;Atividades artísticas, de espetáculos, desportivas e recreativas;Outras atividades de serviços;
;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;
PT: Portugal;129486491297;2624029823;593696116;27494218715;4162926346;1785420082;9792737058;24421927442;8678682397;8305985248;9886848695;4368174769;9538964145;9025236830;1260898053;4693653398;1969501010;883591170;
1: Continente;125207792236;2484330687;588348402;27169284243;3945763938;1732001538;9314872245;23589953256;8347503171;7598558621;9655227449;4233023552;9258323867;8763102446;1238665101;4551028117;1891726584;846079019;
2: Região Autónoma dos Açores;1649251034;110196017;1667499;202380592;94993700;21271789;154239794;399774169;131730042;198071900;21950859;30382997;83988401;85010317;11647823;59250565;26773478;15921092;
3: Região Autónoma da Madeira;2629448027;29503119;3680215;122553880;122168708;32146755;323625019;432200017;199449184;509354727;209670387;104768220;196651877;177124067;10585129;83374716;51000948;21591059;

Valor acrescentado bruto (?) das Empresas por Localização geográfica (NUTS - 2013) e Atividade económica (Divisão - CAE Rev. 3) -  Anual - INE, Sistema de contas integradas das empresas

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".

(2) O âmbito de atividade económica considerado compreende as empresas classificadas nas secções A a S da CAE Rev.3, com exceção das Atividades Financeiras e de Seguros (Secção K) e da Administração Pública e Defesa -  Segurança Social Obrigatória (Secção O).

(3) Ainda no âmbito da implementação do SEC 2010 nas Contas Nacionais, nomeadamente da necessidade de distinguir as Sociedades Gestoras de Participações Sociais (Holdings) das Sedes sociais (Head-offices) procedeu-se a uma atualização das estatísticas das empresas. Estas alterações tiveram reflexos imediatos na delimitação do setor empresarial, pelo que, de modo a aumentar a consistência com as Contas Nacionais, se procedeu a uma revisão da série das estatísticas das empresas para o período 2008-2015, unicamente no setor de atividade onde estas empresas estão classificadas, ou seja, na Secção M da CAE Rev.3 - Atividades de consultoria, científicas, técnicas e similares. Os dados de 2008 e 2009 revistos de acordo com SEC são divulgados pela primeira vez. E a informação de 2014 foi também revista para a secção L da CAE Rev.3 - Atividades imobiliárias, na sequência da atualização da informação de uma empresa de grande dimensão.<br>Os dados de 2019 foram retificados.<br>Foi reclassificada uma sociedade da Secção G - Comércio por grosso e a retalho -  reparação de veículos automóveis e motociclos para a Secção C - Indústrias transformadoras, com sede na região de Lisboa e dimensão "Grande".



Última atualização destes dados: 15 de dezembro de 2023


Metainformação associada ao quadro

Valor acrescentado bruto (?) das Empresas
Designação;Valor acrescentado bruto (?) das Empresas por Localização geográfica (NUTS - 2013) e Atividade económica (Divisão - CAE Rev. 3) -  Anual
Periodicidade;Anual
Fonte;INE, Sistema de contas integradas das empresas
Primeiro período disponível;2008
Último período disponível;2022
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Atividade económica (Divisão - CAE Rev. 3)
Conceitos
     ATIVIDADE ECONÓMICA;Resultado da combinação dos fatores produtivos (mão de obra, matérias-primas, equipamento, etc.), com vista à produção de bens e serviços. Independentemente dos fatores produtivos que integram o bem ou serviço produzido, toda a atividade pressupõe, em termos genéricos, uma entrada de produtos (bens ou serviços), um processo de incorporação de valor acrescentado e uma saída (bens ou serviços).
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     EMPRESA;Entidade jurídica (pessoa singular ou coletiva) correspondente a uma unidade organizacional de produção de bens e/ou serviços, usufruindo de uma certa autonomia de decisão, nomeadamente quanto à afetação dos seus recursos correntes. Uma empresa pode exercer uma ou várias atividades, em um ou em vários locais.
     VALOR ACRESCENTADO BRUTO;Valor bruto da produção deduzido do custo das matérias-primas e de outros consumos no processo produtivo.
Definição;
Fórmula;
Unidade de Medida (símbolo);Euro (?)
Potência de 10;0
Data da última atualização;15-Dec-2023
