
Quadro extraído em 22 de Novembro de 2024 (18:23:51)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Volume de negócios (?) das empresas por Localização geográfica (NUTS - 2013) e Atividade económica (Subclasse - CAE Rev. 3) -  Anual (3) ;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;
;2022;;;;;;;;;;;;;;;;;;
;Atividade económica (Subclasse - CAE Rev. 3) (2) ;;;;;;;;;;;;;;;;;;
;Total;Agricultura, produção animal, caça, floresta e pesca;Indústrias extrativas;Indústrias transformadoras;Eletricidade, gás, vapor, água quente e fria e ar frio;Captação, tratamento e distribuição de água -  saneamento, gestão de resíduos e despoluição;Construção;Comércio por grosso e a retalho -  reparação de veículos automóveis e motociclos;Transportes e armazenagem;Alojamento, restauração e similares;Atividades de informação e de comunicação;Atividades imobiliárias;Atividades de consultoria, científicas, técnicas e similares;Atividades administrativas e dos serviços de apoio;Educação;Atividades de saúde humana e apoio  social;Atividades artísticas, de espetáculos, desportivas e recreativas;Outras atividades de serviços;
;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;? ;
PT: Portugal;533462568609;10236924509;1631364405;127444229985;36449102151;4635342483;31971517081;186142018641;29271521585;19654967660;19789408533;12515961033;18763125745;16925272079;2176250322;9887108316;3854455112;2113998969;
1: Continente;517508115777;9700609918;1612514503;125881150061;35832103519;4543775533;30673487760;179371909167;28037673331;18245307983;19333220739;12175427828;18236261117;16399416950;2134808724;9590621840;3701363889;2038462915;
2: Região Autónoma dos Açores;6933666117;433723265;4601129;1129743180;287805128;38141360;436577535;3018708768;526179426;391998567;51633236;70372727;141955125;177654834;20025302;118764741;52917904;32863890;
3: Região Autónoma da Madeira;9020786715;102591326;14248773;433336744;329193504;53425590;861451786;3751400706;707668828;1017661110;404554558;270160478;384909503;348200295;21416296;177721735;100173319;42672164;

Volume de negócios (?) das empresas por Localização geográfica (NUTS - 2013) e Atividade económica (Subclasse - CAE Rev. 3) -  Anual - INE, Sistema de contas integradas das empresas

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".

(2) O âmbito de atividade económica considerado compreende as empresas classificadas nas secções A a S da CAE Rev.3, com exceção das Atividades Financeiras e de Seguros (Secção K) e da Administração Pública e Defesa -  Segurança Social Obrigatória (Secção O).

(3) Ainda no âmbito da implementação do SEC 2010 nas Contas Nacionais, nomeadamente da necessidade de distinguir as Sociedades Gestoras de Participações Sociais (Holdings) das Sedes sociais (Head-offices) procedeu-se a uma atualização das estatísticas das empresas. Estas alterações tiveram reflexos imediatos na delimitação do setor empresarial, pelo que, de modo a aumentar a consistência com as Contas Nacionais, se procedeu a uma revisão da série das estatísticas das empresas para o período 2008-2015, unicamente no setor de atividade onde estas empresas estão classificadas, ou seja, na Secção M da CAE Rev.3 - Atividades de consultoria, científicas, técnicas e similares. Os dados de 2008 e 2009 revistos de acordo com SEC são divulgados pela primeira vez. E a informação de 2014 foi também revista para a secção L da CAE Rev.3 - Atividades imobiliárias, na sequência da atualização da informação de uma empresa de grande dimensão.<br>Os dados de 2019 foram retificados.<br>Foi reclassificada uma sociedade da Secção G - Comércio por grosso e a retalho -  reparação de veículos automóveis e motociclos para a Secção C - Indústrias transformadoras, com sede na região de Lisboa e dimensão "Grande".



Última atualização destes dados: 15 de dezembro de 2023


Metainformação associada ao quadro

Volume de negócios (?) das empresas
Designação;Volume de negócios (?) das empresas por Localização geográfica (NUTS - 2013) e Atividade económica (Subclasse - CAE Rev. 3) -  Anual
Periodicidade;Anual
Fonte;INE, Sistema de contas integradas das empresas
Primeiro período disponível;2008
Último período disponível;2022
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Atividade económica (Subclasse - CAE Rev. 3)
Conceitos
     VOLUME DE NEGÓCIOS;Quantia líquida das vendas e prestações de serviços (abrangendo as indemnizações compensatórias) respeitantes às atividades normais das entidades, consequentemente após as reduções em vendas e não incluindo nem o imposto sobre o valor acrescentado nem outros impostos diretamente relacionados com as vendas e prestações de serviços. Na prática, corresponde ao somatório das contas 71 e 72 do Plano Oficial de Contabilidade.
     ATIVIDADE ECONÓMICA;Resultado da combinação dos fatores produtivos (mão de obra, matérias-primas, equipamento, etc.), com vista à produção de bens e serviços. Independentemente dos fatores produtivos que integram o bem ou serviço produzido, toda a atividade pressupõe, em termos genéricos, uma entrada de produtos (bens ou serviços), um processo de incorporação de valor acrescentado e uma saída (bens ou serviços).
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     EMPRESA;Entidade jurídica (pessoa singular ou coletiva) correspondente a uma unidade organizacional de produção de bens e/ou serviços, usufruindo de uma certa autonomia de decisão, nomeadamente quanto à afetação dos seus recursos correntes. Uma empresa pode exercer uma ou várias atividades, em um ou em vários locais.
Definição;
Fórmula;
Unidade de Medida (símbolo);Euro (?)
Potência de 10;0
Data da última atualização;15-Dec-2023
