
Quadro extraído em 22 de Novembro de 2024 (18:22:23)
http://www.ine.pt



Localização geográfica (NUTS - 2013) (1) ;Pessoal ao serviço (N.º) das Empresas por Localização geográfica (NUTS - 2013) e Atividade económica (Divisão - CAE Rev. 3) -  Anual (3) ;;;;;;;;;;;;;;;;;;
;Período de referência dos dados;;;;;;;;;;;;;;;;;;
;2022;;;;;;;;;;;;;;;;;;
;Atividade económica (Divisão - CAE Rev. 3) (2) ;;;;;;;;;;;;;;;;;;
;Total;Agricultura, produção animal, caça, floresta e pesca;Indústrias extrativas;Indústrias transformadoras;Eletricidade, gás, vapor, água quente e fria e ar frio;Captação, tratamento e distribuição de água -  saneamento, gestão de resíduos e despoluição;Construção;Comércio por grosso e a retalho -  reparação de veículos automóveis e motociclos;Transportes e armazenagem;Alojamento, restauração e similares;Atividades de informação e de comunicação;Atividades imobiliárias;Atividades de consultoria, científicas, técnicas e similares;Atividades administrativas e dos serviços de apoio;Educação;Atividades de saúde humana e apoio  social;Atividades artísticas, de espetáculos, desportivas e recreativas;Outras atividades de serviços;
;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;N.º ;
PT: Portugal;4487322;211847;9983;741958;15882;38475;398687;825653;200020;407255;163328;94408;322244;558023;107148;218763;73499;100149;
1: Continente;4318165;196820;9838;729761;14070;36619;379271;795615;191495;378562;159956;91310;312823;541526;103808;211008;69618;96065;
2: Região Autónoma dos Açores;77727;9497;70;7799;891;829;8020;16214;3931;9906;932;874;4020;6057;1526;3540;1724;1897;
3: Região Autónoma da Madeira;91430;5530;75;4398;921;1027;11396;13824;4594;18787;2440;2224;5401;10440;1814;4215;2157;2187;

Pessoal ao serviço (N.º) das Empresas por Localização geográfica (NUTS - 2013) e Atividade económica (Divisão - CAE Rev. 3) -  Anual - INE, Sistema de contas integradas das empresas

Nota(s):
(1) A partir de 1 de janeiro de 2015 entrou em vigor uma nova versão das NUTS (NUTS 2013). Ao nível da NUTS II ocorreu apenas uma alteração de designação em "Lisboa" que passou a ser designada por "Área Metropolitana de Lisboa".

(2) O âmbito de atividade económica considerado compreende as empresas classificadas nas secções A a S da CAE Rev.3, com exceção das Atividades Financeiras e de Seguros (Secção K) e da Administração Pública e Defesa -  Segurança Social Obrigatória (Secção O).

(3) Ainda no âmbito da implementação do SEC 2010 nas Contas Nacionais, nomeadamente da necessidade de distinguir as Sociedades Gestoras de Participações Sociais (Holdings) das Sedes sociais (Head-offices) procedeu-se a uma atualização das estatísticas das empresas. Estas alterações tiveram reflexos imediatos na delimitação do setor empresarial, pelo que, de modo a aumentar a consistência com as Contas Nacionais, se procedeu a uma revisão da série das estatísticas das empresas para o período 2008-2015, unicamente no setor de atividade onde estas empresas estão classificadas, ou seja, na Secção M da CAE Rev.3 - Atividades de consultoria, científicas, técnicas e similares. Os dados de 2008 e 2009 revistos de acordo com SEC são divulgados pela primeira vez. E a informação de 2014 foi também revista para a secção L da CAE Rev.3 - Atividades imobiliárias, na sequência da atualização da informação de uma empresa de grande dimensão.<br>Os dados de 2019 foram retificados.<br>Foi reclassificada uma sociedade da Secção G - Comércio por grosso e a retalho -  reparação de veículos automóveis e motociclos para a Secção C - Indústrias transformadoras, com sede na região de Lisboa e dimensão "Grande".



Última atualização destes dados: 15 de dezembro de 2023


Metainformação associada ao quadro

Pessoal ao serviço (N.º) das Empresas
Designação;Pessoal ao serviço (N.º) das Empresas por Localização geográfica (NUTS - 2013) e Atividade económica (Divisão - CAE Rev. 3) -  Anual
Periodicidade;Anual
Fonte;INE, Sistema de contas integradas das empresas
Primeiro período disponível;2008
Último período disponível;2022
Dimensões
     Dimensão 1;Período de referência dos dados
     Dimensão 2;Localização geográfica (NUTS - 2013)
     Dimensão 3;Atividade económica (Divisão - CAE Rev. 3)
Conceitos
     PERÍODO DE REFERÊNCIA;Período a que a informação se refere e que pode ser um dia específico ou um intervalo de tempo (mês, ano fiscal, ano civil, entre outros).
     ATIVIDADE ECONÓMICA;Resultado da combinação dos fatores produtivos (mão de obra, matérias-primas, equipamento, etc.), com vista à produção de bens e serviços. Independentemente dos fatores produtivos que integram o bem ou serviço produzido, toda a atividade pressupõe, em termos genéricos, uma entrada de produtos (bens ou serviços), um processo de incorporação de valor acrescentado e uma saída (bens ou serviços).
     PESSOAL AO SERVIÇO;Pessoas que, no período de referência, participaram na atividade da empresa/instituição, qualquer que tenha sido a duração dessa participação, nas seguintes condições: a) pessoal ligado à empresa/instituição por um contrato de trabalho, recebendo em contrapartida uma remuneração; b) pessoal ligado à empresa/instituição, que por não estar vinculado por um contrato de trabalho, não recebe uma remuneração regular pelo tempo trabalhado ou trabalho fornecido (p. ex.: proprietários-gerentes, familiares não remunerados, membros ativos de cooperativas); c) pessoal com vínculo a outras empresas/instituições que trabalharam na empresa/instituição sendo por esta diretamente remunerados;d) pessoas nas condições das alíneas anteriores, temporariamente ausentes por um período igual ou inferior a um mês por férias, conflito de trabalho, formação profissional, assim como por doença e acidente de trabalho. Não são consideradas como pessoal ao serviço as pessoas que: i) se encontram nas condições descritas nas alíneas a), b), e c) e estejam temporariamente ausentes por um período superior a um mês; ii) os trabalhadores com vínculo à empresa/instituição deslocados para outras empresas/instituições, sendo nessas diretamente remunerados; iii) os trabalhadores a trabalhar na empresa/instituição e cuja remuneração é suportada por outras empresas/instituições (p. ex.: trabalhadores temporários); iv) os trabalhadores independentes (p. ex.: prestadores de serviços, também designados por 'recibos verdes').
     EMPRESA;Entidade jurídica (pessoa singular ou coletiva) correspondente a uma unidade organizacional de produção de bens e/ou serviços, usufruindo de uma certa autonomia de decisão, nomeadamente quanto à afetação dos seus recursos correntes. Uma empresa pode exercer uma ou várias atividades, em um ou em vários locais.
Definição;
Fórmula;
Unidade de Medida (símbolo);Número (N.º)
Potência de 10;0
Data da última atualização;15-Dec-2023
